"시도교육청","지역교육청","지역","정보공시 학교코드","학교명","학교급코드","설립구분","제외여부","제외사유","학년","성별","왕복오래달리기(회)","오래달리기걷기(초)","스텝검사(PEI)","앉아윗몸앞으로굽히기(cm)","종합유연성(점)","(무릎대고)팔굽혀펴기(회)","윗몸말아올리기(회)","악력(kg)","50m달리기(초)","제자리멀리뛰기(cm)","BMI(kg/㎡)","체지방률(%fat)","인원","%","인원","%","인원","%","인원","%","인원","%","검사인원수"
"서울특별시교육청","서울특별시교육청","서울특별시 종로구","S010000382","경신고등학교","04","사립","N","","1학년","남자","20","9.15","","11.2","","","","41.2","","215.3","23.8","","3","2.1","43","29.5","66","45.2","30","20.5","4","2.7","146"
"서울특별시교육청","서울특별시교육청","서울특별시 종로구","S010000382","경신고등학교","04","사립","N","","2학년","남자","68.1","0.00","","13.4","","","","41.1","","221.1","24","","5","2.8","62","35.2","88","50","20","11.4","1",".6","176"
"서울특별시교육청","서울특별시교육청","서울특별시 종로구","S010000382","경신고등학교","04","사립","N","","3학년","남자","55.9","0.00","","8.8","","","","43.9","","223.5","24.6","","9","5.4","43","25.6","65","38.7","43","25.6","8","4.8","168"
"서울특별시교육청","서울특별시교육청","서울특별시 구로구","S010000383","경인고등학교","04","공립","N","","1학년","남자","51.7","0.00","66.9","12.8","","49","","40.3","7.5","204.7","23.4","","7","3.7","53","28.2","98","52.1","28","14.9","2","1.1","188"
"서울특별시교육청","서울특별시교육청","서울특별시 구로구","S010000383","경인고등학교","04","공립","N","","1학년","여자","30.4","6.30","","18.3","","","","26.4","8.4","148.7","21.2","","4","2.6","55","36.4","84","55.6","7","4.6","1",".7","151"
"서울특별시교육청","서울특별시교육청","서울특별시 구로구","S010000383","경인고등학교","04","공립","N","","2학년","남자","49","0.00","","12.4","","","","41.9","","204.2","23.6","","3","1.5","39","19.9","94","48","51","26","9","4.6","196"
"서울특별시교육청","서울특별시교육청","서울특별시 구로구","S010000383","경인고등학교","04","공립","N","","2학년","여자","25.8","0.00","","18.4","","","","26.6","","145.4","22.5","","1",".6","41","24.3","95","56.2","30","17.8","2","1.2","169"
"서울특별시교육청","서울특별시교육청","서울특별시 구로구","S010000383","경인고등학교","04","공립","N","","3학년","남자","49.2","0.00","","11.1","","","","42.2","","200.7","24","","5","2.6","35","18","76","39.2","65","33.5","13","6.7","194"
"서울특별시교육청","서울특별시교육청","서울특별시 구로구","S010000383","경인고등학교","04","공립","N","","3학년","여자","24.5","0.00","","15.6","","","","26","","142","22.1","","2","1.1","32","18.1","95","53.7","41","23.2","7","4","177"
"서울특별시교육청","서울특별시교육청","서울특별시 동대문구","S010000384","경희고등학교","04","사립","N","","1학년","남자","60.6","6.39","94.6","12.4","","","70.5","41.9","7.9","163","24.1","","24","10.3","86","36.8","86","36.8","35","15","3","1.3","234"
"서울특별시교육청","서울특별시교육청","서울특별시 동대문구","S010000384","경희고등학교","04","사립","N","","2학년","남자","49.7","0.00","","11.5","","","68.1","32.5","8.1","198","24.8","","10","4.7","55","26.1","90","42.7","52","24.6","4","1.9","211"
"서울특별시교육청","서울특별시교육청","서울특별시 동대문구","S010000384","경희고등학교","04","사립","N","","3학년","남자","54.9","0.00","","13.2","","","67.9","38.3","7.7","233","25.3","","23","9.4","68","27.9","96","39.3","52","21.3","5","2","244"
"서울특별시교육청","서울특별시교육청","서울특별시 동대문구","S010000385","경희여자고등학교","04","사립","N","","1학년","여자","20.5","7.50","","15.1","","","17.1","18.3","","148.8","21.7","","0","0","17","13.6","33","26.4","51","40.8","24","19.2","125"
"서울특별시교육청","서울특별시교육청","서울특별시 동대문구","S010000385","경희여자고등학교","04","사립","N","","2학년","여자","20.2","0.00","","15","","","14.6","","","151.3","22.8","","2","1.4","12","8.2","65","44.2","59","40.1","9","6.1","147"
"서울특별시교육청","서울특별시교육청","서울특별시 동대문구","S010000385","경희여자고등학교","04","사립","N","","3학년","여자","18","0.00","","16.4","","","17.3","","","159.2","22.1","","3","1.9","22","13.7","76","47.2","51","31.7","9","5.6","161"
"서울특별시교육청","서울특별시교육청","서울특별시 성북구","S010000386","계성고등학교","04","사립","N","","1학년","남자","","8.47","","10.6","","17","42.5","","","198.9","22.9","","1","1.1","27","28.7","40","42.6","17","18.1","9","9.6","94"
"서울특별시교육청","서울특별시교육청","서울특별시 성북구","S010000386","계성고등학교","04","사립","N","","1학년","여자","22","8.07","","19","","16","25.9","30.2","10.4","154","21.4","","7","4.4","66","41.8","70","44.3","13","8.2","2","1.3","158"
"서울특별시교육청","서울특별시교육청","서울특별시 성북구","S010000386","계성고등학교","04","사립","N","","2학년","남자","44.7","0.00","","9.1","","36","","40.4","6.9","191.9","23","","1","1","11","11","42","42","33","33","13","13","100"
"서울특별시교육청","서울특별시교육청","서울특별시 성북구","S010000386","계성고등학교","04","사립","N","","2학년","여자","20.4","0.00","","15.6","","","","25.5","","140.7","22.1","","0","0","20","12.1","86","52.1","55","33.3","4","2.4","165"
"서울특별시교육청","서울특별시교육청","서울특별시 성북구","S010000386","계성고등학교","04","사립","N","","3학년","남자","34.7","0.00","","9.1","","","","41.5","","199.7","24.3","","1","1","11","10.5","43","41","31","29.5","19","18.1","105"
"서울특별시교육청","서울특별시교육청","서울특별시 성북구","S010000386","계성고등학교","04","사립","N","","3학년","여자","22.2","0.00","","16.2","","","","24.7","","143.1","22","","0","0","31","16.8","92","50","55","29.9","6","3.3","184"
"서울특별시교육청","서울특별시교육청","서울특별시 성북구","S010000387","고려대학교사범대학부속고등학교","04","사립","N","","1학년","남자","43","8.04","76.5","10.7","","27.5","100","36.2","9.3","210.3","23.5","","1",".5","86","39.8","113","52.3","16","7.4","0","0","216"
"서울특별시교육청","서울특별시교육청","서울특별시 성북구","S010000387","고려대학교사범대학부속고등학교","04","사립","N","","2학년","남자","70","0.00","73","10.2","","","","38.8","","209.3","24.7","","1",".4","48","20.1","162","67.8","24","10","4","1.7","239"
"서울특별시교육청","서울특별시교육청","서울특별시 성북구","S010000387","고려대학교사범대학부속고등학교","04","사립","N","","3학년","남자","","0.00","73.6","8.7","","","","38.3","","219.8","24.7","","2",".8","46","18.3","179","71.3","21","8.4","3","1.2","251"
"서울특별시교육청","서울특별시교육청","서울특별시 구로구","S010000388","고척고등학교","04","공립","N","","1학년","남자","40.3","0.00","86","8.2","","","","43.4","","190.1","23.4","","0","0","27","20.1","58","43.3","45","33.6","4","3","134"
"서울특별시교육청","서울특별시교육청","서울특별시 구로구","S010000388","고척고등학교","04","공립","N","","1학년","여자","20.9","0.00","","11.4","","","","25.8","","135.1","21.5","","0","0","9","9.8","51","55.4","30","32.6","2","2.2","92"
"서울특별시교육청","서울특별시교육청","서울특별시 구로구","S010000388","고척고등학교","04","공립","N","","2학년","남자","49","0.00","","9.1","","","","42.1","","185.2","23.7","","0","0","26","18.4","52","36.9","50","35.5","13","9.2","141"
"서울특별시교육청","서울특별시교육청","서울특별시 구로구","S010000388","고척고등학교","04","공립","N","","2학년","여자","37.2","0.00","","14.4","","","","25.1","","129.2","22.4","","1",".9","20","18.3","56","51.4","28","25.7","4","3.7","109"
"서울특별시교육청","서울특별시교육청","서울특별시 구로구","S010000388","고척고등학교","04","공립","N","","3학년","남자","66.7","0.00","","11.6","","35.5","","","7.3","","23.6","","10","7.1","66","46.8","42","29.8","16","11.3","7","5","141"
"서울특별시교육청","서울특별시교육청","서울특별시 구로구","S010000388","고척고등학교","04","공립","N","","3학년","여자","38.1","0.00","","15.5","","36.1","","","9.3","","21","","14","12.1","56","48.3","35","30.2","11","9.5","0","0","116"
"서울특별시교육청","서울특별시교육청","서울특별시 강서구","S010000389","공항고등학교","04","공립","N","","1학년","남자","34.2","8.33","","8.6","","50","","43","7.2","195.4","22.3","","0","0","19","18.4","57","55.3","25","24.3","2","1.9","103"
"서울특별시교육청","서울특별시교육청","서울특별시 강서구","S010000389","공항고등학교","04","공립","N","","1학년","여자","19.6","0.00","52.4","15","","","","27.5","8.8","140.1","21","","0","0","23","22.1","55","52.9","24","23.1","2","1.9","104"
"서울특별시교육청","서울특별시교육청","서울특별시 강서구","S010000389","공항고등학교","04","공립","N","","2학년","남자","45.2","0.00","","10.2","","","","44.8","","197.5","23.8","","0","0","25","23.4","41","38.3","33","30.8","8","7.5","107"
"서울특별시교육청","서울특별시교육청","서울특별시 강서구","S010000389","공항고등학교","04","공립","N","","2학년","여자","23","0.00","","15.5","","","","31","","142.8","22.2","","0","0","23","20.7","60","54.1","23","20.7","5","4.5","111"
"서울특별시교육청","서울특별시교육청","서울특별시 강서구","S010000389","공항고등학교","04","공립","N","","3학년","남자","39.2","0.00","","10.5","","","","45","","193.3","24.8","","0","0","12","12.2","40","40.8","36","36.7","10","10.2","98"
"서울특별시교육청","서울특별시교육청","서울특별시 강서구","S010000389","공항고등학교","04","공립","N","","3학년","여자","21.9","0.00","","15.4","","","","27.9","","144.4","22.3","","1","1.1","17","18.5","47","51.1","25","27.2","2","2.2","92"
"서울특별시교육청","서울특별시교육청","서울특별시 영등포구","S010000390","관악고등학교","04","공립","N","","1학년","남자","45.1","0.00","","11.9","","","86","","","197.3","24","","7","5.4","43","33.3","50","38.8","25","19.4","4","3.1","129"
"서울특별시교육청","서울특별시교육청","서울특별시 영등포구","S010000390","관악고등학교","04","공립","N","","1학년","여자","37.1","0.00","","18.7","","","42.9","","","152.3","21.7","","15","14","56","52.3","35","32.7","1",".9","0","0","107"
"서울특별시교육청","서울특별시교육청","서울특별시 영등포구","S010000390","관악고등학교","04","공립","N","","2학년","남자","56.6","0.00","","13.4","","","103.7","","","203.1","24.6","","21","15.9","46","34.8","45","34.1","16","12.1","4","3","132"
"서울특별시교육청","서울특별시교육청","서울특별시 영등포구","S010000390","관악고등학교","04","공립","N","","2학년","여자","30.7","0.00","","18.8","","","45.1","","","147.2","22.9","","5","4.5","59","53.6","40","36.4","6","5.5","0","0","110"
"서울특별시교육청","서울특별시교육청","서울특별시 영등포구","S010000390","관악고등학교","04","공립","N","","3학년","남자","85.4","0.00","","11.8","","","87.2","","","206.7","23.8","","13","9.9","60","45.8","41","31.3","15","11.5","2","1.5","131"
"서울특별시교육청","서울특별시교육청","서울특별시 영등포구","S010000390","관악고등학교","04","공립","N","","3학년","여자","54.8","0.00","","16","","","41.6","","","146.5","22.4","","11","11.5","43","44.8","33","34.4","8","8.3","1","1","96"
"서울특별시교육청","서울특별시교육청","서울특별시 광진구","S010000391","광남고등학교","04","공립","N","","1학년","남자","70","9.02","","10.5","","","","40.1","","202.8","23.6","","3","1.6","34","18.4","100","54.1","47","25.4","1",".5","185"
